name,description,image_url,phone,aggregate_rating,reviews_count,cuisine
"Foo Ahmedabad, Thaltej, Ahmedabad | Zomato ","Foo Ahmedabad Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Foo Ahmedabad Restaurant.",/ahmedabad/foo-ahmedabad-3-thaltej,"+917984264651, +919016851931",4.5,770.0,"Chinese, Sushi, Asian, Japanese, Desserts"
"Makeba - The Lounge Cafe, Vastrapur, Ahmedabad | Zomato ","Makeba - The Lounge Cafe Ahmedabad, Vastrapur; View reviews, menu, contact, location, and more for Makeba - The Lounge Cafe Restaurant.",/ahmedabad/makeba-the-lounge-cafe-vastrapur,+917490044477,4.9,3296.0,"Salad, North Indian, Italian, Fast Food, Desserts, Korean, Beverages"
"1989 By Sphere Lounge, Ambavadi, Ahmedabad | Zomato ","1989 By Sphere Lounge Ahmedabad, Ambavadi; View reviews, menu, contact, location, and more for 1989 By Sphere Lounge Restaurant.",/ahmedabad/1989-by-sphere-lounge-ambavadi,+919909172225,4.4,1621.0,"Continental, Cafe, Mexican, North Indian, Italian, Salad, Desserts, Beverages"
"Mrs Mage - Hyatt Ahmedabad, Vastrapur, Ahmedabad | Zomato ","Mrs Mage - Hyatt Ahmedabad Ahmedabad, Vastrapur; View reviews, menu, contact, location, and more for Mrs Mage - Hyatt Ahmedabad Restaurant.",/ahmedabad/mrs-mage-hyatt-ahmedabad-vastrapur,"+917575002467, +917600150266",4.6,428.0,"Continental, Modern Indian, Arabian, Cafe"
"R Kitchen - Renaissance Hotel, Sola, Ahmedabad | Zomato ","R Kitchen - Renaissance Hotel Ahmedabad, Sola; View reviews, menu, contact, location, and more for R Kitchen - Renaissance Hotel Restaurant.",/ahmedabad/r-kitchen-renaissance-hotel-sola,+917574847178,4.3,610.0,"North Indian, Chinese, Asian, Beverages, Desserts"
"Saffron, Gurukul, Ahmedabad | Zomato ","Saffron Ahmedabad, Gurukul; View reviews, menu, contact, location, and more for Saffron Restaurant.",/ahmedabad/saffron-gurukul,+918160632538,3.9,533.0,"North Indian, Chinese, Shake"
"Tinello - Hyatt Regency, Ashram Road, Ahmedabad | Zomato ","Tinello - Hyatt Regency Ahmedabad, Ashram Road; View reviews, menu, contact, location, and more for Tinello - Hyatt Regency Restaurant.",/ahmedabad/tinello-hyatt-regency-ashram-road,+917574826669,4.3,887.0,"Italian, Continental, North Indian, South Indian, Asian, Sandwich, Desserts, Beverages"
"Topspin, Bodakdev, Ahmedabad | Zomato ","Topspin Ahmedabad, Bodakdev; View reviews, menu, contact, location, and more for Topspin Restaurant.",/ahmedabad/topspin-bodakdev,"+919930663000, +919574720555",4.6,683.0,"Cafe, Coffee, Tea, Shake, Bakery, Pizza, Sandwich, Continental"
"China House - Hyatt Regency, Ashram Road, Ahmedabad | Zomato ","China House - Hyatt Regency Ahmedabad, Ashram Road; View reviews, menu, contact, location, and more for China House - Hyatt Regency Restaurant.",/ahmedabad/china-house-hyatt-regency-ashram-road,"+917574850298, +917940171144, +918827070244",4.9,547.0,"Chinese, Asian, Sichuan, Desserts"
"Punjab Grill, Thaltej, Ahmedabad | Zomato ","Punjab Grill Ahmedabad, Thaltej; View reviews, menu, contact, location, and more for Punjab Grill Restaurant.",/ahmedabad/punjab-grill-thaltej,+918130605763,4.1,724.0,"North Indian, Kebab, Biryani, Mughlai"
